,Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,week,uid
0,2022-02-10,6,DE,2160535,96000,825380,1239155,0,221875,257266,280519,1143710,1705484,1661731,1559500,505650,60820,658091,984575,1998,175143,197871,202482,267673,1682699,789207,81.0,764047,91.0,715657,92.9,208102,95.0,650563,66.8,632881,75.4,592216,76.9,177352,93.9,56313,229610,363990,650,56302,229597,346333,649,56253,229470,305854,639,9945,73114,93954,339,278954.0,42.9,278913.0,44.1,271005.0,45.8,194256.0,56.7,115749.0,65.3,121182.0,152894.0,4850.0,28.0,789051.0,85.9,650534.0,70.8,1705305.0,185552.0,235085.0,229599.0,363976.0,56309.0,650.0,06,DE202206
1,2022-02-10,6,KS,5629435,253800,2126560,3249075,0,193231,229614,254373,1183930,4362480,4231521,3947910,1187413,134098,1660186,2564447,3749,149743,172596,178391,249726,4491888,2122991,72.9,2046334,83.5,1902876,86.0,523031,95.0,1733958,59.5,1679250,68.5,1559321,70.5,423369,89.0,124431,620054,988785,688,124410,620022,934142,676,124300,619650,814780,591,18520,201183,203392,274,700051.0,40.4,699969.0,41.7,678964.0,43.5,455025.0,55.2,269980.0,63.8,305093.0,384728.0,10048.0,182.0,2122837.0,77.8,1733937.0,63.6,4362307.0,159910.0,206359.0,620046.0,988778.0,124426.0,687.0,06,KS202206
2,2022-02-10,6,ID,3156470,155300,1214860,1786310,0,176629,211078,235757,1085930,2334941,2278902,2145793,681008,84480,882947,1364318,3196,130658,152393,160270,234289,2357768,1070158,59.9,1038104,69.4,970296,72.5,273653,94.1,939111,52.6,913580,61.1,854543,63.8,248592,85.5,79440,324583,534335,753,79422,324574,508839,745,79372,324434,450001,736,12144,114281,121859,308,377646.0,40.2,377644.0,41.3,377517.0,44.2,264052.0,57.0,162587.0,65.4,166239.0,205744.0,5583.0,80.0,1070078.0,64.0,939074.0,56.2,2334835.0,139738.0,188912.0,324576.0,534320.0,79425.0,753.0,06,ID202206
3,2022-02-10,6,US,674675725,30209400,246235940,398230385,0,203210,237964,261239,1231340,545477120,529514924,495442900,136093727,18283801,206059690,320648278,485351,164296,186764,191839,248382,545477120,251655172,75.8,242532217,85.5,225631968,87.4,55997009,95.0,213430434,64.3,206666707,72.9,192335910,74.5,48494451,88.5,16656790,74893111,121741914,138619,16651917,74887209,114990266,137315,16626495,74807909,100769172,132334,2340654,23126843,22965885,61069,90852670.0,42.6,90839164.0,44.0,88140671.0,45.8,56684166.0,57.1,31662039.0,65.3,39589072.0,49865184.0,1377046.0,21368.0,251593017.0,80.6,213416104.0,68.3,545402676.0,174660.0,216059.0,74889969.0,121733824.0,16653790.0,138521.0,06,US202206
4,2022-02-10,6,WI,10856185,450400,4002040,6403745,0,186454,217133,238292,1067220,9756060,9472917,8921126,2801543,331061,3740013,5682842,2144,167560,189466,195817,275405,9749053,4116297,70.7,3962202,79.2,3701953,81.3,1032191,95.0,3728134,64.0,3600776,72.0,3369115,74.0,960067,94.4,297555,1316159,2113692,728,297526,1316117,1986410,723,297331,1315774,1755322,688,30484,459896,469393,294,1993761.0,53.5,1993545.0,55.4,1940884.0,57.6,1305096.0,69.3,755019.0,78.6,839670.0,1127796.0,26207.0,88.0,4115869.0,74.9,3728081.0,67.9,9755611.0,177635.0,197675.0,1316149.0,2113668.0,297539.0,725.0,06,WI202206
5,2022-02-10,6,NJ,20490975,937900,7252000,12301075,0,230697,268968,295105,1388720,16286681,15767571,14673422,3657119,558199,6161481,9565207,1794,183363,206968,211323,247850,16756980,7833200,88.2,7536190,95.0,6992703,95.0,1591626,95.0,6530462,73.5,6300944,82.7,5831319,84.0,1340236,90.8,506755,2265748,3757146,813,506653,2265671,3527820,800,506386,2264982,3059179,772,92610,623192,624220,214,2837412.0,43.4,2836931.0,45.0,2738831.0,47.0,1692634.0,57.3,871846.0,65.1,1227423.0,1551380.0,58561.0,48.0,7832028.0,93.6,6530334.0,78.0,16285486.0,194628.0,244888.0,2265715.0,3757114.0,506693.0,812.0,06,NJ202206
6,2022-02-10,6,MI,19528810,923900,7590720,11014190,0,195545,227211,248999,1106200,14877836,14478066,13678573,4258656,457851,5812464,8605460,2061,148974,168448,174407,241229,15158854,6544698,65.5,6323267,73.6,5941003,75.7,1685085,95.0,5854113,58.6,5674643,66.0,5332318,68.0,1536036,87.0,415605,2128431,3309017,1060,415576,2128368,3129645,1054,415282,2127642,2788424,970,70741,767378,697331,586,2897639.0,49.5,2897405.0,51.1,2825812.0,53.0,1936754.0,63.7,1119843.0,72.9,1271197.0,1580795.0,45551.0,96.0,6544224.0,69.5,5854053.0,62.1,14877329.0,157926.0,207303.0,2128409.0,3308994.0,415591.0,1059.0,06,MI202206
7,2022-02-10,6,SC,9727255,448800,3943220,5335235,0,188926,220075,240921,1038100,7142865,6997708,6632609,2217138,224987,2795655,4120101,2122,138731,158320,164274,236615,7177115,3396944,66.0,3310082,74.9,3117608,77.2,944087,95.0,2844523,55.2,2783262,63.0,2622718,65.0,804578,85.9,204085,1025703,1614366,369,204039,1025558,1553298,367,203477,1023587,1395294,360,31126,343812,429429,211,1066621.0,37.5,1066528.0,38.3,1046546.0,39.9,780348.0,51.2,486539.0,60.5,458966.0,586135.0,21043.0,477.0,3395430.0,69.9,2843903.0,58.6,7140702.0,147041.0,200304.0,1025628.0,1613867.0,204041.0,367.0,06,SC202206
8,2022-02-10,6,MN,11749270,499400,4113960,7135910,0,208334,245899,270941,1276570,9780805,9399957,8774183,2480134,352888,3562073,5861972,3872,173430,196731,202334,269468,9798194,4170396,73.9,3958147,82.8,3671828,84.7,936510,95.0,3808729,67.5,3638648,76.2,3371471,77.7,876093,95.0,325462,1283851,2198035,1381,325444,1283799,2028040,1365,324930,1281531,1763686,1324,50449,368786,456521,337,2092794.0,54.9,2092584.0,57.5,2022201.0,60.0,1269591.0,72.0,704228.0,80.4,846745.0,1217845.0,27907.0,297.0,4168754.0,78.8,3808381.0,72.0,9778839.0,184925.0,222187.0,1283843.0,2197714.0,325447.0,1377.0,06,MN202206
9,2022-02-10,6,OR,9354045,459000,3488220,5406825,0,221779,256432,279127,1221030,7346463,7122471,6685335,1900184,270521,2740311,4321081,14550,174180,195256,199492,248040,7351540,3226511,76.5,3099415,85.0,2895055,86.4,748048,95.0,2875544,68.2,2781034,76.2,2598571,77.5,688269,89.8,244250,988523,1637788,4983,244247,988519,1543297,4971,243411,985601,1364831,4728,52337,310880,323753,1299,1435136.0,49.9,1435018.0,51.6,1386512.0,53.4,852595.0,64.9,505529.0,73.4,614816.0,797571.0,22311.0,438.0,3225775.0,80.8,2875404.0,72.1,7345590.0,184103.0,234442.0,988522.0,1637651.0,244249.0,4982.0,06,OR202206
