Label (Grouping),Alabama Total Estimate,Alaska Total Estimate,Arizona Total Estimate,Arkansas Total Estimate,California Total Estimate,Colorado Total Estimate,Connecticut Total Estimate,Delaware Total Estimate,District of Columbia Total Estimate,Florida Total Estimate,Georgia Total Estimate,Hawaii Total Estimate,Idaho Total Estimate,Illinois Total Estimate,Indiana Total Estimate,Iowa Total Estimate,Kansas Total Estimate,Kentucky Total Estimate,Louisiana Total Estimate,Maine Total Estimate,Maryland Total Estimate,Massachusetts Total Estimate,Michigan Total Estimate,Minnesota Total Estimate,Mississippi Total Estimate,Missouri Total Estimate,Montana Total Estimate,Nebraska Total Estimate,Nevada Total Estimate,New Hampshire Total Estimate,New Jersey Total Estimate,New Mexico Total Estimate,New York Total Estimate,North Carolina Total Estimate,North Dakota Total Estimate,Ohio Total Estimate,Oklahoma Total Estimate,Oregon Total Estimate,Pennsylvania Total Estimate,Rhode Island Total Estimate,South Carolina Total Estimate,South Dakota Total Estimate,Tennessee Total Estimate,Texas Total Estimate,Utah Total Estimate,Vermont Total Estimate,Virginia Total Estimate,Washington Total Estimate,West Virginia Total Estimate,Wisconsin Total Estimate,Wyoming Total Estimate,Puerto Rico Total Estimate
5 to 14 years,612120.0,102429.0,931925.0,394665.0,5010272.0,710624.0,409660.0,114061.0,67379.0,2381895.0,1436938.0,167072.0,254626.0,1576105.0,882859.0,409568.0,400270.0,557013.0,615244.0,137744.0,750142.0,751128.0,1196324.0,734067.0,401541.0,772588.0,129606.0,268695.0,392005.0,143711.0,1087796.0,276958.0,2216386.0,1302230.0,99368.0,1442577.0,542944.0,490279.0,1478252.0,111727.0,634997.0,122107.0,849284.0,4180172.0,525651.0,63126.0,1047559.0,934187.0,203414.0,713189.0,79437.0,343562.0
15 to 17 years,186880.0,26429.0,280016.0,121020.0,1502953.0,218394.0,137174.0,35624.0,15259.0,718912.0,426378.0,47780.0,78892.0,496170.0,270009.0,121656.0,116795.0,171682.0,176665.0,45796.0,223799.0,245583.0,378584.0,218981.0,117382.0,234656.0,38068.0,76850.0,114564.0,48109.0,338303.0,79914.0,685885.0,395159.0,26771.0,445598.0,158202.0,149173.0,458412.0,37046.0,187766.0,34303.0,254442.0,1234704.0,158774.0,21412.0,310140.0,273495.0,63856.0,222965.0,21654.0,113769.0
Under 18 years,1085597.0,179749.0,1639648.0,699012.0,8891064.0,1256320.0,727432.0,203946.0,127901.0,4231955.0,2503029.0,300187.0,449355.0,2814679.0,1567421.0,721830.0,700301.0,1001825.0,1084886.0,246353.0,1332287.0,1351777.0,2142822.0,1302669.0,698420.0,1372695.0,226524.0,475096.0,690737.0,256020.0,1938024.0,473850.0,4022096.0,2293972.0,176706.0,2574847.0,952229.0,862816.0,2632325.0,203575.0,1112300.0,215269.0,1510752.0,7396631.0,930308.0,113559.0,1857605.0,1662965.0,358818.0,1263412.0,134189.0,572734.0
18 to 24 years,457530.0,67738.0,694529.0,282336.0,3683287.0,527473.0,341435.0,82507.0,72703.0,1761280.0,1034172.0,119017.0,166713.0,1162448.0,662783.0,310236.0,294932.0,417406.0,423707.0,106707.0,529535.0,690150.0,949408.0,489751.0,298065.0,558571.0,100304.0,187542.0,252953.0,123941.0,752937.0,196991.0,1766731.0,1007035.0,80981.0,1064448.0,385498.0,366803.0,1141628.0,108834.0,473210.0,81361.0,624460.0,2826700.0,364058.0,64872.0,805157.0,661604.0,152243.0,543737.0,54723.0,319225.0
15 to 44 years,1887552.0,305180.0,2874672.0,1167142.0,16521203.0,2458800.0,1350085.0,360247.0,361242.0,7860502.0,4321080.0,547711.0,706209.0,5048120.0,2644879.0,1224288.0,1152005.0,1722676.0,1850579.0,470349.0,2360833.0,2777994.0,3804038.0,2204709.0,1163284.0,2373658.0,403963.0,765375.0,1226893.0,501765.0,3383802.0,817379.0,7748123.0,4116518.0,321363.0,4458911.0,1582215.0,1689407.0,4825067.0,418493.0,1960337.0,336155.0,2662939.0,12263484.0,1438677.0,233748.0,3418104.0,3131354.0,647265.0,2218453.0,226697.0,1213716.0
16 years and over,3937453.0,569699.0,5820607.0,2401299.0,31617786.0,4645780.0,2926854.0,792119.0,587819.0,17719854.0,8394269.0,1147569.0,1386665.0,10184783.0,5346452.0,2516898.0,2292476.0,3581569.0,3684053.0,1128168.0,4862424.0,5707254.0,8095913.0,4479456.0,2360508.0,4918035.0,869402.0,1509290.0,2465233.0,1137316.0,7168432.0,1678187.0,15895561.0,8457219.0,602982.0,9407641.0,3110626.0,3451654.0,10474419.0,880978.0,4158317.0,692113.0,5487875.0,22425612.0,2378652.0,525153.0,6880704.0,6128444.0,1476688.0,4707424.0,458477.0,2699404.0
18 years and over,3817588.0,551796.0,5639069.0,2318792.0,30621159.0,4502416.0,2837855.0,769818.0,577848.0,17245782.0,8114394.0,1115685.0,1337710.0,9857142.0,5164798.0,2433240.0,2213013.0,3465848.0,3563908.0,1097859.0,4713393.0,5540726.0,7844035.0,4336963.0,2277729.0,4764733.0,842254.0,1459312.0,2389419.0,1103691.0,6944166.0,1622979.0,15431465.0,8194112.0,585356.0,9114253.0,3004742.0,3354921.0,10169664.0,855786.0,4036414.0,669390.0,5318422.0,21599250.0,2275650.0,510430.0,6677914.0,5951928.0,1433329.0,4559022.0,444570.0,2620960.0
21 years and over,3608467.0,523018.0,5332094.0,2192034.0,29044071.0,4279893.0,2685230.0,729636.0,544046.0,16467996.0,7645283.0,1069806.0,1266533.0,9356390.0,4871760.0,2294466.0,2082728.0,3277406.0,3371916.0,1049640.0,4476458.0,5236619.0,7428907.0,4122678.0,2131424.0,4522768.0,798199.0,1377093.0,2281239.0,1045381.0,6620377.0,1536368.0,14674437.0,7730808.0,553228.0,8627797.0,2831196.0,3200622.0,9660388.0,800805.0,3813659.0,635739.0,5043319.0,20340329.0,2127694.0,478059.0,6320168.0,5675664.0,1365932.0,4317545.0,418893.0,2480442.0
60 years and over,1186229.0,136500.0,1746326.0,717809.0,8166156.0,1199263.0,885407.0,260433.0,120007.0,5920539.0,2137322.0,360166.0,403404.0,2862069.0,1516393.0,761777.0,668797.0,1056886.0,1049512.0,394575.0,1367175.0,1630322.0,2464173.0,1291944.0,677549.0,1474792.0,286567.0,434707.0,683072.0,357103.0,2078439.0,518073.0,4577889.0,2409072.0,167040.0,2856225.0,878011.0,1043811.0,3301963.0,265058.0,1275913.0,212172.0,1577586.0,5324526.0,518522.0,175684.0,1902159.0,1690242.0,501753.0,1428853.0,138116.0,892571.0
62 years and over,1047557.0,118043.0,1564977.0,636003.0,7171107.0,1053116.0,776789.0,233237.0,106806.0,5341094.0,1882894.0,326379.0,356082.0,2520297.0,1338492.0,674770.0,591393.0,930315.0,928680.0,352172.0,1195609.0,1447056.0,2183374.0,1136366.0,601013.0,1303564.0,253310.0,384839.0,608048.0,313400.0,1827849.0,463304.0,4044590.0,2131408.0,146102.0,2525748.0,780134.0,933533.0,2929770.0,233154.0,1137680.0,189348.0,1393059.0,4668269.0,455265.0,155355.0,1674921.0,1492179.0,450826.0,1263529.0,122855.0,805090.0
