State,variable,value
Alabama ,Under 18 years,1085597.0
Alaska ,Under 18 years,179749.0
Arizona ,Under 18 years,1639648.0
Arkansas ,Under 18 years,699012.0
California ,Under 18 years,8891064.0
Colorado ,Under 18 years,1256320.0
Connecticut ,Under 18 years,727432.0
Delaware ,Under 18 years,203946.0
District of Columbia ,Under 18 years,127901.0
Florida ,Under 18 years,4231955.0
Georgia ,Under 18 years,2503029.0
Hawaii ,Under 18 years,300187.0
Idaho ,Under 18 years,449355.0
Illinois ,Under 18 years,2814679.0
Indiana ,Under 18 years,1567421.0
Iowa ,Under 18 years,721830.0
Kansas ,Under 18 years,700301.0
Kentucky ,Under 18 years,1001825.0
Louisiana ,Under 18 years,1084886.0
Maine ,Under 18 years,246353.0
Maryland ,Under 18 years,1332287.0
Massachusetts ,Under 18 years,1351777.0
Michigan ,Under 18 years,2142822.0
Minnesota ,Under 18 years,1302669.0
Mississippi ,Under 18 years,698420.0
Missouri ,Under 18 years,1372695.0
Montana ,Under 18 years,226524.0
Nebraska ,Under 18 years,475096.0
Nevada ,Under 18 years,690737.0
New Hampshire ,Under 18 years,256020.0
New Jersey ,Under 18 years,1938024.0
New Mexico ,Under 18 years,473850.0
New York ,Under 18 years,4022096.0
North Carolina ,Under 18 years,2293972.0
North Dakota ,Under 18 years,176706.0
Ohio ,Under 18 years,2574847.0
Oklahoma ,Under 18 years,952229.0
Oregon ,Under 18 years,862816.0
Pennsylvania ,Under 18 years,2632325.0
Puerto Rico ,Under 18 years,572734.0
Rhode Island ,Under 18 years,203575.0
South Carolina ,Under 18 years,1112300.0
South Dakota ,Under 18 years,215269.0
Tennessee ,Under 18 years,1510752.0
Texas ,Under 18 years,7396631.0
Utah ,Under 18 years,930308.0
Vermont ,Under 18 years,113559.0
Virginia ,Under 18 years,1857605.0
Washington ,Under 18 years,1662965.0
West Virginia ,Under 18 years,358818.0
Wisconsin ,Under 18 years,1263412.0
Wyoming ,Under 18 years,134189.0
Alabama ,18 to 64 years,2963276.0
Alaska ,18 to 64 years,461208.0
Arizona ,18 to 64 years,4331828.0
Arkansas ,18 to 64 years,1794555.0
California ,18 to 64 years,24786161.0
Colorado ,18 to 64 years,3657038.0
Connecticut ,18 to 64 years,2208823.0
Delaware ,18 to 64 years,580180.0
District of Columbia ,18 to 64 years,490311.0
Florida ,18 to 64 years,12747584.0
Georgia ,18 to 64 years,6591202.0
Hawaii ,18 to 64 years,846215.0
Idaho ,18 to 64 years,1049093.0
Illinois ,18 to 64 years,7811781.0
Indiana ,18 to 64 years,4080326.0
Iowa ,18 to 64 years,1879665.0
Kansas ,18 to 64 years,1735017.0
Kentucky ,18 to 64 years,2711289.0
Louisiana ,18 to 64 years,2821714.0
Maine ,18 to 64 years,811881.0
Maryland ,18 to 64 years,3753506.0
Massachusetts ,18 to 64 years,4368433.0
Michigan ,18 to 64 years,6077626.0
Minnesota ,18 to 64 years,3415472.0
Mississippi ,18 to 64 years,1790925.0
Missouri ,18 to 64 years,3706790.0
Montana ,18 to 64 years,634345.0
Nebraska ,18 to 64 years,1147017.0
Nevada ,18 to 64 years,1891200.0
New Hampshire ,18 to 64 years,850544.0
New Jersey ,18 to 64 years,5469091.0
New Mexico ,18 to 64 years,1245249.0
New York ,18 to 64 years,12135497.0
North Carolina ,18 to 64 years,6443177.0
North Dakota ,18 to 64 years,465179.0
Ohio ,18 to 64 years,7070705.0
