State,Age Group,Age Group Count,Education Level,Education Count,Mean/Median Income,Value,Poverty/Total Pop,Poverty/Total Pop Count
Alabama ,Under 18 years,1085597.0,Less than High School,489527.0,Median Income,42414.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,Less than High School,489527.0,Median Income,42414.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,Less than High School,489527.0,Median Income,42414.0,Percent Estimate,0.1545705198666245
Alabama ,Under 18 years,1085597.0,Less than High School,489527.0,Mean Income,55985.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,Less than High School,489527.0,Mean Income,55985.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,Less than High School,489527.0,Mean Income,55985.0,Percent Estimate,0.1545705198666245
Alabama ,Under 18 years,1085597.0,Proportion Less than HS,0.128,Median Income,42414.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,Proportion Less than HS,0.128,Median Income,42414.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,Proportion Less than HS,0.128,Median Income,42414.0,Percent Estimate,0.1545705198666245
Alabama ,Under 18 years,1085597.0,Proportion Less than HS,0.128,Mean Income,55985.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,Proportion Less than HS,0.128,Mean Income,55985.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,Proportion Less than HS,0.128,Mean Income,55985.0,Percent Estimate,0.1545705198666245
Alabama ,Under 18 years,1085597.0,High School through Associates,2407708.0,Median Income,42414.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,High School through Associates,2407708.0,Median Income,42414.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,High School through Associates,2407708.0,Median Income,42414.0,Percent Estimate,0.1545705198666245
Alabama ,Under 18 years,1085597.0,High School through Associates,2407708.0,Mean Income,55985.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,High School through Associates,2407708.0,Mean Income,55985.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,High School through Associates,2407708.0,Mean Income,55985.0,Percent Estimate,0.1545705198666245
Alabama ,Under 18 years,1085597.0,Proportion HS through AA,0.631,Median Income,42414.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,Proportion HS through AA,0.631,Median Income,42414.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,Proportion HS through AA,0.631,Median Income,42414.0,Percent Estimate,0.1545705198666245
Alabama ,Under 18 years,1085597.0,Proportion HS through AA,0.631,Mean Income,55985.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,Proportion HS through AA,0.631,Mean Income,55985.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,Proportion HS through AA,0.631,Mean Income,55985.0,Percent Estimate,0.1545705198666245
Alabama ,Under 18 years,1085597.0,Bachelor's or Higher,920353.0,Median Income,42414.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,Bachelor's or Higher,920353.0,Median Income,42414.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,Bachelor's or Higher,920353.0,Median Income,42414.0,Percent Estimate,0.1545705198666245
Alabama ,Under 18 years,1085597.0,Bachelor's or Higher,920353.0,Mean Income,55985.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,Bachelor's or Higher,920353.0,Mean Income,55985.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,Bachelor's or Higher,920353.0,Mean Income,55985.0,Percent Estimate,0.1545705198666245
Alabama ,Under 18 years,1085597.0,Proportion BA or Higher,0.241,Median Income,42414.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,Proportion BA or Higher,0.241,Median Income,42414.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,Proportion BA or Higher,0.241,Median Income,42414.0,Percent Estimate,0.1545705198666245
Alabama ,Under 18 years,1085597.0,Proportion BA or Higher,0.241,Mean Income,55985.0,Below Poverty Estimate,739108.0
Alabama ,Under 18 years,1085597.0,Proportion BA or Higher,0.241,Mean Income,55985.0,Total Estimate,4781688.0
Alabama ,Under 18 years,1085597.0,Proportion BA or Higher,0.241,Mean Income,55985.0,Percent Estimate,0.1545705198666245
