State,Under 18 years,18 to 64 years,65 years and over,Total_x,Proportion under 18,Proportion between 18 and 64,Proportion 65 and older,Less than High School,Proportion Less than HS,High School through Associates,Proportion HS through AA,Bachelor's or Higher,Proportion BA or Higher,Total_y,Median Income,Mean Income,Below Poverty Estimate,Total Estimate,Percent Estimate
Alabama ,1085597.0,2963276.0,854312.0,4903185.0,0.221,0.604,0.174,489527.0,0.128,2407708.0,0.631,920353.0,0.241,3817588.0,42414.0,55985.0,739108.0,4781688.0,0.1545705198666245
Alaska ,179749.0,461208.0,90588.0,731545.0,0.246,0.63,0.124,39537.0,0.072,362981.0,0.658,149278.0,0.271,551796.0,54311.0,66176.0,71938.0,713725.0,0.1007923219727486
Arizona ,1639648.0,4331828.0,1307241.0,7278717.0,0.225,0.595,0.18,713986.0,0.127,3362992.0,0.596,1562091.0,0.277,5639069.0,45667.0,61045.0,958442.0,7116266.0,0.134683273503267
Arkansas ,699012.0,1794555.0,524237.0,3017804.0,0.232,0.595,0.174,288266.0,0.124,1529694.0,0.66,500832.0,0.216,2318792.0,40345.0,53689.0,474739.0,2929117.0,0.1620758064631764
California ,8891064.0,24786161.0,5834998.0,39512223.0,0.225,0.627,0.148,4669295.0,0.152,16095970.0,0.526,9855894.0,0.322,30621159.0,52566.0,77330.0,4552837.0,38733295.0,0.117543240253637
Colorado ,1256320.0,3657038.0,845378.0,5758736.0,0.218,0.635,0.147,367781.0,0.082,2366635.0,0.526,1768000.0,0.393,4502416.0,53957.0,72952.0,526979.0,5637904.0,0.0934707295477184
Connecticut ,727432.0,2208823.0,629032.0,3565287.0,0.204,0.62,0.176,266999.0,0.094,1519877.0,0.536,1050979.0,0.37,2837855.0,61295.0,86624.0,347149.0,3460446.0,0.1003191496125066
Delaware ,203946.0,580180.0,189638.0,973764.0,0.209,0.596,0.195,75735.0,0.098,457622.0,0.594,236461.0,0.307,769818.0,51421.0,66777.0,106383.0,944955.0,0.1125799641252758
District of Columbia ,127901.0,490311.0,87537.0,705749.0,0.181,0.695,0.124,44367.0,0.077,215247.0,0.372,318234.0,0.551,577848.0,80445.0,103354.0,90534.0,673041.0,0.1345148363918394
Florida ,4231955.0,12747584.0,4498198.0,21477737.0,0.197,0.594,0.209,2047281.0,0.119,10257332.0,0.595,4941169.0,0.287,17245782.0,41299.0,58265.0,2664772.0,21048884.0,0.1265992059246466
Georgia ,2503029.0,6591202.0,1523192.0,10617423.0,0.236,0.621,0.143,1011098.0,0.125,4698365.0,0.579,2404931.0,0.296,8114394.0,45203.0,62457.0,1373909.0,10332523.0,0.1329693628555194
Hawaii ,300187.0,846215.0,269470.0,1415872.0,0.212,0.598,0.19,84741.0,0.076,685949.0,0.615,344995.0,0.309,1115685.0,50223.0,62599.0,128722.0,1379078.0,0.0933391729836891
Idaho ,449355.0,1049093.0,288617.0,1787065.0,0.251,0.587,0.162,119855.0,0.09,868343.0,0.649,349512.0,0.261,1337710.0,43184.0,57029.0,195984.0,1753946.0,0.1117389018818139
Illinois ,2814679.0,7811781.0,2045361.0,12671821.0,0.222,0.616,0.161,1018437.0,0.103,5558422.0,0.564,3280283.0,0.333,9857142.0,51855.0,71175.0,1420542.0,12373209.0,0.1148078885598715
Indiana ,1567421.0,4080326.0,1084472.0,6732219.0,0.233,0.606,0.161,561939.0,0.109,3318824.0,0.643,1284035.0,0.249,5164798.0,45475.0,59941.0,775823.0,6517430.0,0.1190381791595767
Iowa ,721830.0,1879665.0,553575.0,3155070.0,0.229,0.596,0.175,188716.0,0.078,1590842.0,0.654,653682.0,0.269,2433240.0,47081.0,59505.0,341613.0,3058938.0,0.1116769937801943
Kansas ,700301.0,1735017.0,477996.0,2913314.0,0.24,0.596,0.164,191634.0,0.087,1337356.0,0.604,684023.0,0.309,2213013.0,46481.0,60178.0,323189.0,2826818.0,0.1143296101836057
Kentucky ,1001825.0,2711289.0,754559.0,4467673.0,0.224,0.607,0.169,441533.0,0.127,2217966.0,0.64,806349.0,0.233,3465848.0,42834.0,55887.0,703627.0,4326675.0,0.1626253416306979
Louisiana ,1084886.0,2821714.0,742194.0,4648794.0,0.233,0.607,0.16,507775.0,0.142,2235714.0,0.627,820419.0,0.23,3563908.0,43919.0,58056.0,857894.0,4515876.0,0.1899728867665985
Maine ,246353.0,811881.0,285978.0,1344212.0,0.183,0.604,0.213,78858.0,0.072,676321.0,0.616,342680.0,0.312,1097859.0,46246.0,58676.0,141803.0,1304100.0,0.1087362932290468
Maryland ,1332287.0,3753506.0,959887.0,6045680.0,0.22,0.621,0.159,464781.0,0.099,2453407.0,0.521,1795205.0,0.381,4713393.0,60744.0,78962.0,532241.0,5898360.0,0.0902354213713642
Massachusetts ,1351777.0,4368433.0,1172293.0,6892503.0,0.196,0.634,0.17,484313.0,0.087,2739934.0,0.495,2316479.0,0.418,5540726.0,63353.0,85762.0,625763.0,6656430.0,0.094008800513188
Michigan ,2142822.0,6077626.0,1766409.0,9986857.0,0.215,0.609,0.177,716486.0,0.091,4946713.0,0.631,2180836.0,0.278,7844035.0,48721.0,63827.0,1269062.0,9772151.0,0.1298651647932988
Minnesota ,1302669.0,3415472.0,921491.0,5639632.0,0.231,0.606,0.163,304899.0,0.07,2524769.0,0.582,1507295.0,0.348,4336963.0,54202.0,70898.0,494683.0,5515416.0,0.089690968006765
Mississippi ,698420.0,1790925.0,486804.0,2976149.0,0.235,0.602,0.164,335628.0,0.147,1480087.0,0.65,462014.0,0.203,2277729.0,39121.0,51026.0,564192.0,2877843.0,0.1960468309077319
Missouri ,1372695.0,3706790.0,1057943.0,6137428.0,0.224,0.604,0.172,455080.0,0.096,2973017.0,0.624,1336636.0,0.281,4764733.0,45427.0,59284.0,770175.0,5953025.0,0.1293754015815488
