Label (Grouping),Alabama Total Estimate,Alaska Total Estimate,Arizona Total Estimate,Arkansas Total Estimate,California Total Estimate,Colorado Total Estimate,Connecticut Total Estimate,Delaware Total Estimate,District of Columbia Total Estimate,Florida Total Estimate,Georgia Total Estimate,Hawaii Total Estimate,Idaho Total Estimate,Illinois Total Estimate,Indiana Total Estimate,Iowa Total Estimate,Kansas Total Estimate,Kentucky Total Estimate,Louisiana Total Estimate,Maine Total Estimate,Maryland Total Estimate,Massachusetts Total Estimate,Michigan Total Estimate,Minnesota Total Estimate,Mississippi Total Estimate,Missouri Total Estimate,Montana Total Estimate,Nebraska Total Estimate,Nevada Total Estimate,New Hampshire Total Estimate,New Jersey Total Estimate,New Mexico Total Estimate,New York Total Estimate,North Carolina Total Estimate,North Dakota Total Estimate,Ohio Total Estimate,Oklahoma Total Estimate,Oregon Total Estimate,Pennsylvania Total Estimate,Rhode Island Total Estimate,South Carolina Total Estimate,South Dakota Total Estimate,Tennessee Total Estimate,Texas Total Estimate,Utah Total Estimate,Vermont Total Estimate,Virginia Total Estimate,Washington Total Estimate,West Virginia Total Estimate,Wisconsin Total Estimate,Wyoming Total Estimate,Puerto Rico Total Estimate
Population 18 to 24 years,457530.0,67738.0,694529.0,282336.0,3683287.0,527473.0,341435.0,82507.0,72703.0,1761280.0,1034172.0,119017.0,166713.0,1162448.0,662783.0,310236.0,294932.0,417406.0,423707.0,106707.0,529535.0,690150.0,949408.0,489751.0,298065.0,558571.0,100304.0,187542.0,252953.0,123941.0,752937.0,196991.0,1766731.0,1007035.0,80981.0,1064448.0,385498.0,366803.0,1141628.0,108834.0,473210.0,81361.0,624460.0,2826700.0,364058.0,64872.0,805157.0,661604.0,152243.0,543737.0,54723.0,319225.0
Less than high school graduate,56454.0,8447.0,100988.0,33273.0,367782.0,65561.0,35160.0,9213.0,3199.0,252646.0,155073.0,8763.0,19949.0,135800.0,93856.0,32235.0,33877.0,50880.0,66931.0,11544.0,62629.0,63372.0,120199.0,59209.0,44711.0,63265.0,14052.0,17267.0,34329.0,14015.0,71642.0,30540.0,181143.0,121314.0,7468.0,136190.0,55594.0,48660.0,136905.0,10138.0,59844.0,11216.0,67988.0,392086.0,38891.0,5163.0,78034.0,93644.0,18690.0,55999.0,6252.0,28658.0
High school graduate (includes equivalency),158761.0,27173.0,246748.0,97402.0,1151214.0,167955.0,102175.0,26864.0,19034.0,565965.0,355413.0,51471.0,62538.0,342491.0,235436.0,91070.0,92290.0,154324.0,148611.0,36951.0,161982.0,186819.0,308027.0,144744.0,84574.0,188594.0,35316.0,54485.0,106726.0,39725.0,220673.0,71806.0,498422.0,320704.0,21467.0,379815.0,136359.0,114446.0,398207.0,35145.0,166144.0,27882.0,216695.0,977096.0,120041.0,21257.0,273942.0,217078.0,59355.0,181487.0,18432.0,84181.0
Some college or associate's degree,207319.0,28997.0,276860.0,126196.0,1736881.0,221559.0,147669.0,38168.0,33665.0,755137.0,420323.0,48997.0,71369.0,512846.0,262282.0,155502.0,137231.0,171776.0,172021.0,44531.0,219949.0,305223.0,411141.0,211729.0,148517.0,241357.0,41431.0,88816.0,95359.0,54770.0,320043.0,79527.0,762486.0,456503.0,41704.0,440427.0,160863.0,164509.0,452714.0,49918.0,202646.0,33736.0,268300.0,1189979.0,179473.0,30622.0,347387.0,273485.0,59009.0,242159.0,25169.0,171326.0
Bachelor's degree or higher,34996.0,3121.0,69933.0,25465.0,427410.0,72398.0,56431.0,8262.0,16805.0,187532.0,103363.0,9786.0,12857.0,171311.0,71209.0,31429.0,31534.0,40426.0,36144.0,13681.0,84975.0,134736.0,110041.0,74069.0,20263.0,65355.0,9505.0,26974.0,16539.0,15431.0,140579.0,15118.0,324680.0,108514.0,10342.0,108016.0,32682.0,39188.0,153802.0,13633.0,44576.0,8527.0,71477.0,267539.0,25653.0,7830.0,105794.0,77397.0,15189.0,64092.0,4870.0,35060.0
Population 25 years and over,3360058.0,484058.0,4944540.0,2036456.0,26937872.0,3974943.0,2496420.0,687311.0,505145.0,15484502.0,7080222.0,996668.0,1170997.0,8694694.0,4502015.0,2123004.0,1918081.0,3048442.0,3140201.0,991152.0,4183858.0,4850576.0,6894627.0,3847212.0,1979664.0,4206162.0,741950.0,1271770.0,2136466.0,979750.0,6191229.0,1425988.0,13664734.0,7187077.0,504375.0,8049805.0,2619244.0,2988118.0,9028036.0,746952.0,3563204.0,588029.0,4693962.0,18772550.0,1911592.0,445558.0,5872757.0,5290324.0,1281086.0,4015285.0,389847.0,2301735.0
Less than 9th grade,130320.0,10424.0,252459.0,94376.0,2346235.0,127702.0,99132.0,23925.0,16459.0,712764.0,319929.0,36278.0,34969.0,388348.0,162057.0,57894.0,63799.0,154759.0,138644.0,20783.0,168321.0,203412.0,186035.0,103730.0,91377.0,122379.0,12087.0,43627.0,109903.0,19331.0,287999.0,82436.0,795539.0,299154.0,13284.0,221017.0,100954.0,98217.0,273775.0,37697.0,132646.0,16462.0,202493.0,1436483.0,46767.0,9568.0,222224.0,187558.0,53606.0,98802.0,6546.0,320083.0
"9th to 12th grade, no diploma",302753.0,20666.0,360539.0,160617.0,1955278.0,174518.0,132707.0,42597.0,24709.0,1081871.0,536096.0,39700.0,64937.0,494289.0,306026.0,98587.0,93958.0,235894.0,302200.0,46531.0,233831.0,217529.0,410252.0,141960.0,199540.0,269436.0,30595.0,57645.0,171012.0,46341.0,311620.0,118892.0,898691.0,519770.0,19735.0,519830.0,202312.0,160182.0,538057.0,42510.0,283032.0,29832.0,360324.0,1445905.0,86293.0,21290.0,362488.0,252516.0,111199.0,192060.0,14704.0,168325.0
High school graduate (includes equivalency),1039241.0,139156.0,1170685.0,710306.0,5546711.0,836590.0,668361.0,207642.0,79881.0,4396122.0,1939945.0,273421.0,305274.0,2255611.0,1526825.0,658822.0,504035.0,1012643.0,1066026.0,311108.0,1030636.0,1158066.0,2005981.0,939997.0,598609.0,1308859.0,211079.0,326389.0,593417.0,275105.0,1666321.0,376390.0,3524192.0,1839042.0,134432.0,2627758.0,825284.0,687243.0,3103046.0,212282.0,1015260.0,176644.0,1480753.0,4734422.0,442206.0,129254.0,1387610.0,1167347.0,515431.0,1223392.0,117501.0,648146.0
"Some college, no degree",700473.0,124261.0,1236845.0,444052.0,5542372.0,805570.0,410972.0,128063.0,65745.0,3001381.0,1414554.0,205964.0,304578.0,1737416.0,896654.0,433870.0,430549.0,619035.0,646746.0,184723.0,753547.0,729016.0,1572770.0,785721.0,440939.0,900486.0,169641.0,280333.0,525746.0,174078.0,974540.0,324141.0,2075506.0,1480044.0,112811.0,1622014.0,596289.0,741058.0,1420062.0,129984.0,725158.0,120476.0,953282.0,3976607.0,486888.0,74468.0,1107258.0,1199747.0,229877.0,804271.0,93505.0,279696.0
