Label (Grouping),Alabama Total Estimate,Alaska Total Estimate,Arizona Total Estimate,Arkansas Total Estimate,California Total Estimate,Colorado Total Estimate,Connecticut Total Estimate,Delaware Total Estimate,District of Columbia Total Estimate,Florida Total Estimate,Georgia Total Estimate,Hawaii Total Estimate,Idaho Total Estimate,Illinois Total Estimate,Indiana Total Estimate,Iowa Total Estimate,Kansas Total Estimate,Kentucky Total Estimate,Louisiana Total Estimate,Maine Total Estimate,Maryland Total Estimate,Massachusetts Total Estimate,Michigan Total Estimate,Minnesota Total Estimate,Mississippi Total Estimate,Missouri Total Estimate,Montana Total Estimate,Nebraska Total Estimate,Nevada Total Estimate,New Hampshire Total Estimate,New Jersey Total Estimate,New Mexico Total Estimate,New York Total Estimate,North Carolina Total Estimate,North Dakota Total Estimate,Ohio Total Estimate,Oklahoma Total Estimate,Oregon Total Estimate,Pennsylvania Total Estimate,Rhode Island Total Estimate,South Carolina Total Estimate,South Dakota Total Estimate,Tennessee Total Estimate,Texas Total Estimate,Utah Total Estimate,Vermont Total Estimate,Virginia Total Estimate,Washington Total Estimate,West Virginia Total Estimate,Wisconsin Total Estimate,Wyoming Total Estimate,Puerto Rico Total Estimate,United States Total Estimate
"FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS",1626970.0,245026.0,2408971.0,998593.0,13622265.0,2180530.0,1259635.0,338671.0,305203.0,7349397.0,3831235.0,540144.0,574331.0,4606479.0,2344886.0,1165475.0,1076430.0,1460752.0,1515194.0,469134.0,2333469.0,2574137.0,3287601.0,2090621.0,940750.0,2171275.0,349050.0,749980.0,1099261.0,521174.0,3318670.0,660531.0,6963659.0,3647903.0,290483.0,4060082.0,1365645.0,1384426.0,4556377.0,389052.0,1775603.0,330890.0,2395612.0,10525130.0,1084410.0,224296.0,3248200.0,2691386.0,548615.0,2148822.0,206580.0,707538.0,115853011.0
"$1 to $9,999 or loss",31597.0,2943.0,46360.0,16026.0,211992.0,30692.0,19777.0,4438.0,3579.0,128374.0,69274.0,10016.0,12042.0,74346.0,37282.0,21051.0,23061.0,28310.0,32138.0,8181.0,35914.0,34177.0,61293.0,26836.0,27393.0,40565.0,11133.0,13836.0,18960.0,7167.0,45529.0,18495.0,100192.0,65906.0,8765.0,64044.0,30226.0,23649.0,73669.0,6649.0,33474.0,8759.0,42077.0,212436.0,16310.0,3736.0,52533.0,29975.0,10706.0,35670.0,4113.0,33430.0,1975666.0
"$10,000 to $14,999",56838.0,4707.0,59548.0,34460.0,334618.0,48704.0,18226.0,7416.0,1979.0,265131.0,125894.0,8374.0,17223.0,111493.0,53100.0,29276.0,33981.0,45820.0,79546.0,7960.0,36849.0,32839.0,85478.0,35512.0,46471.0,59586.0,12901.0,19107.0,31288.0,8279.0,70705.0,27634.0,131190.0,113945.0,7032.0,99008.0,47965.0,26108.0,110665.0,7929.0,61307.0,10732.0,73175.0,392899.0,28607.0,4000.0,75829.0,40985.0,22424.0,48019.0,7699.0,84175.0,3120461.0
"$15,000 to $24,999",242003.0,25554.0,292310.0,166099.0,1380305.0,169985.0,80227.0,31254.0,11087.0,1108021.0,490032.0,51369.0,73715.0,441738.0,255410.0,107169.0,115883.0,191713.0,216592.0,41643.0,162773.0,133853.0,348143.0,131194.0,167543.0,259158.0,42564.0,72996.0,128174.0,33326.0,254882.0,100571.0,557985.0,477018.0,22428.0,432067.0,186800.0,128731.0,418659.0,27889.0,246374.0,35969.0,312182.0,1430067.0,98998.0,16976.0,323810.0,190711.0,79714.0,186817.0,22042.0,270926.0,12522523.0
"$25,000 to $34,999",279334.0,29552.0,404190.0,193972.0,1889309.0,281677.0,131563.0,48983.0,18692.0,1397477.0,661035.0,80318.0,103582.0,660464.0,416534.0,186877.0,169474.0,248500.0,234453.0,79725.0,264495.0,271048.0,512670.0,257153.0,170167.0,366009.0,52829.0,120108.0,203017.0,69568.0,389252.0,116457.0,903135.0,608338.0,42872.0,655439.0,237386.0,206104.0,679316.0,50189.0,303122.0,57488.0,439777.0,1634109.0,178600.0,36937.0,432497.0,343580.0,103542.0,323533.0,29934.0,122909.0,17574382.0
"$35,000 to $49,999",332264.0,43568.0,518783.0,219399.0,2385783.0,429484.0,215083.0,69246.0,40230.0,1527863.0,755710.0,117475.0,126966.0,839830.0,538541.0,273495.0,240378.0,334813.0,293561.0,118720.0,392763.0,420038.0,667257.0,445605.0,195058.0,472519.0,79606.0,177026.0,252357.0,104784.0,517888.0,127355.0,1247532.0,818762.0,63992.0,868398.0,304159.0,290333.0,936132.0,81765.0,389731.0,79900.0,532037.0,1931166.0,226430.0,50842.0,582997.0,495081.0,113200.0,500468.0,41206.0,91507.0,22827579.0
"$50,000 to $64,999",264805.0,42848.0,366492.0,146796.0,1889841.0,350477.0,209272.0,54250.0,38761.0,1013067.0,558422.0,90227.0,86715.0,727865.0,381109.0,213946.0,181153.0,241208.0,228668.0,80622.0,368176.0,416172.0,533547.0,381430.0,133204.0,359401.0,53671.0,133730.0,158745.0,91575.0,498154.0,97099.0,1068313.0,544620.0,55059.0,692370.0,210316.0,208535.0,756510.0,70140.0,270781.0,62102.0,376494.0,1605543.0,170477.0,45191.0,477876.0,414824.0,77189.0,392961.0,35069.0,38564.0,17925818.0
"$65,000 to $74,999",100779.0,23669.0,151647.0,55655.0,872789.0,172245.0,105346.0,26675.0,26533.0,419173.0,252714.0,41039.0,36812.0,343641.0,158649.0,87715.0,74391.0,97088.0,99836.0,35285.0,184257.0,205108.0,241542.0,170427.0,52157.0,146863.0,23733.0,53388.0,70833.0,39551.0,243215.0,38081.0,519073.0,218366.0,22294.0,292760.0,83562.0,102877.0,351665.0,32062.0,111062.0,21889.0,138563.0,680264.0,83386.0,17556.0,222979.0,206970.0,38966.0,176976.0,16362.0,17669.0,7988468.0
"$75,000 to $99,999",138829.0,32311.0,238335.0,73253.0,1585371.0,279109.0,186110.0,42665.0,49533.0,617258.0,380621.0,64200.0,54672.0,567783.0,227986.0,118620.0,112399.0,130682.0,141394.0,45908.0,330746.0,392217.0,364523.0,280049.0,70079.0,213474.0,35099.0,75353.0,105278.0,69186.0,440304.0,61438.0,914589.0,326902.0,30679.0,455115.0,125979.0,165633.0,537821.0,52702.0,159695.0,25233.0,200703.0,1040144.0,122442.0,23762.0,380163.0,354333.0,49096.0,237093.0,23903.0,22824.0,12750772.0
"$100,000 or more",180521.0,39874.0,331306.0,92933.0,3072257.0,418157.0,294031.0,53744.0,114809.0,873033.0,537533.0,77126.0,62604.0,839319.0,276275.0,127326.0,125710.0,142618.0,189006.0,51090.0,557496.0,668685.0,473148.0,362415.0,78678.0,253700.0,37514.0,84436.0,130609.0,97738.0,858741.0,73401.0,1521650.0,474046.0,37362.0,500881.0,139252.0,232456.0,691940.0,59727.0,200057.0,28818.0,280604.0,1598502.0,159160.0,25296.0,699516.0,614927.0,53778.0,247285.0,26252.0,25534.0,19167342.0
