State,Mean/Median Income,Value
Alabama ,Median Income,42414.0
Alaska ,Median Income,54311.0
Arizona ,Median Income,45667.0
Arkansas ,Median Income,40345.0
California ,Median Income,52566.0
Colorado ,Median Income,53957.0
Connecticut ,Median Income,61295.0
Delaware ,Median Income,51421.0
District of Columbia ,Median Income,80445.0
Florida ,Median Income,41299.0
Georgia ,Median Income,45203.0
Hawaii ,Median Income,50223.0
Idaho ,Median Income,43184.0
Illinois ,Median Income,51855.0
Indiana ,Median Income,45475.0
Iowa ,Median Income,47081.0
Kansas ,Median Income,46481.0
Kentucky ,Median Income,42834.0
Louisiana ,Median Income,43919.0
Maine ,Median Income,46246.0
Maryland ,Median Income,60744.0
Massachusetts ,Median Income,63353.0
Michigan ,Median Income,48721.0
Minnesota ,Median Income,54202.0
Mississippi ,Median Income,39121.0
Missouri ,Median Income,45427.0
Montana ,Median Income,43131.0
Nebraska ,Median Income,46645.0
Nevada ,Median Income,42642.0
New Hampshire ,Median Income,55283.0
New Jersey ,Median Income,61002.0
New Mexico ,Median Income,41615.0
New York ,Median Income,56393.0
North Carolina ,Median Income,43670.0
North Dakota ,Median Income,50023.0
Ohio ,Median Income,47496.0
Oklahoma ,Median Income,42051.0
Oregon ,Median Income,50712.0
Pennsylvania ,Median Income,50626.0
Puerto Rico ,Median Income,23110.0
Rhode Island ,Median Income,52157.0
South Carolina ,Median Income,42237.0
South Dakota ,Median Income,43750.0
Tennessee ,Median Income,42395.0
Texas ,Median Income,46434.0
United States ,Median Income,49898.0
Utah ,Median Income,49373.0
Vermont ,Median Income,49842.0
Virginia ,Median Income,53087.0
Washington ,Median Income,58341.0
West Virginia ,Median Income,41322.0
Wisconsin ,Median Income,49080.0
Wyoming ,Median Income,49239.0
Alabama ,Mean Income,55985.0
Alaska ,Mean Income,66176.0
Arizona ,Mean Income,61045.0
Arkansas ,Mean Income,53689.0
California ,Mean Income,77330.0
Colorado ,Mean Income,72952.0
Connecticut ,Mean Income,86624.0
Delaware ,Mean Income,66777.0
District of Columbia ,Mean Income,103354.0
Florida ,Mean Income,58265.0
Georgia ,Mean Income,62457.0
Hawaii ,Mean Income,62599.0
Idaho ,Mean Income,57029.0
Illinois ,Mean Income,71175.0
Indiana ,Mean Income,59941.0
Iowa ,Mean Income,59505.0
Kansas ,Mean Income,60178.0
Kentucky ,Mean Income,55887.0
Louisiana ,Mean Income,58056.0
Maine ,Mean Income,58676.0
Maryland ,Mean Income,78962.0
Massachusetts ,Mean Income,85762.0
Michigan ,Mean Income,63827.0
Minnesota ,Mean Income,70898.0
Mississippi ,Mean Income,51026.0
Missouri ,Mean Income,59284.0
Montana ,Mean Income,57827.0
Nebraska ,Mean Income,59417.0
Nevada ,Mean Income,60149.0
New Hampshire ,Mean Income,72048.0
New Jersey ,Mean Income,85284.0
New Mexico ,Mean Income,55313.0
New York ,Mean Income,80779.0
North Carolina ,Mean Income,60566.0
North Dakota ,Mean Income,62755.0
Ohio ,Mean Income,61821.0
Oklahoma ,Mean Income,56695.0
Oregon ,Mean Income,67049.0
Pennsylvania ,Mean Income,66940.0
Puerto Rico ,Mean Income,33734.0
Rhode Island ,Mean Income,67582.0
South Carolina ,Mean Income,57538.0
South Dakota ,Mean Income,55431.0
Tennessee ,Mean Income,59165.0
Texas ,Mean Income,63806.0
United States ,Mean Income,67687.0
Utah ,Mean Income,65226.0
Vermont ,Mean Income,60545.0
Virginia ,Mean Income,73890.0
Washington ,Mean Income,78254.0
West Virginia ,Mean Income,53282.0
Wisconsin ,Mean Income,61325.0
Wyoming ,Mean Income,60298.0
