"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Below poverty level!!Estimate","Alabama!!Percent below poverty level!!Estimate","Alaska!!Total!!Estimate","Alaska!!Below poverty level!!Estimate","Alaska!!Percent below poverty level!!Estimate","Arizona!!Total!!Estimate","Arizona!!Below poverty level!!Estimate","Arizona!!Percent below poverty level!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Below poverty level!!Estimate","Arkansas!!Percent below poverty level!!Estimate","California!!Total!!Estimate","California!!Below poverty level!!Estimate","California!!Percent below poverty level!!Estimate","Colorado!!Total!!Estimate","Colorado!!Below poverty level!!Estimate","Colorado!!Percent below poverty level!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Below poverty level!!Estimate","Connecticut!!Percent below poverty level!!Estimate","Delaware!!Total!!Estimate","Delaware!!Below poverty level!!Estimate","Delaware!!Percent below poverty level!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Below poverty level!!Estimate","District of Columbia!!Percent below poverty level!!Estimate","Florida!!Total!!Estimate","Florida!!Below poverty level!!Estimate","Florida!!Percent below poverty level!!Estimate","Georgia!!Total!!Estimate","Georgia!!Below poverty level!!Estimate","Georgia!!Percent below poverty level!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Below poverty level!!Estimate","Hawaii!!Percent below poverty level!!Estimate","Idaho!!Total!!Estimate","Idaho!!Below poverty level!!Estimate","Idaho!!Percent below poverty level!!Estimate","Illinois!!Total!!Estimate","Illinois!!Below poverty level!!Estimate","Illinois!!Percent below poverty level!!Estimate","Indiana!!Total!!Estimate","Indiana!!Below poverty level!!Estimate","Indiana!!Percent below poverty level!!Estimate","Iowa!!Total!!Estimate","Iowa!!Below poverty level!!Estimate","Iowa!!Percent below poverty level!!Estimate","Kansas!!Total!!Estimate","Kansas!!Below poverty level!!Estimate","Kansas!!Percent below poverty level!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Below poverty level!!Estimate","Kentucky!!Percent below poverty level!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Below poverty level!!Estimate","Louisiana!!Percent below poverty level!!Estimate","Maine!!Total!!Estimate","Maine!!Below poverty level!!Estimate","Maine!!Percent below poverty level!!Estimate","Maryland!!Total!!Estimate","Maryland!!Below poverty level!!Estimate","Maryland!!Percent below poverty level!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Below poverty level!!Estimate","Massachusetts!!Percent below poverty level!!Estimate","Michigan!!Total!!Estimate","Michigan!!Below poverty level!!Estimate","Michigan!!Percent below poverty level!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Below poverty level!!Estimate","Minnesota!!Percent below poverty level!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Below poverty level!!Estimate","Mississippi!!Percent below poverty level!!Estimate","Missouri!!Total!!Estimate","Missouri!!Below poverty level!!Estimate","Missouri!!Percent below poverty level!!Estimate","Montana!!Total!!Estimate","Montana!!Below poverty level!!Estimate","Montana!!Percent below poverty level!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Below poverty level!!Estimate","Nebraska!!Percent below poverty level!!Estimate","Nevada!!Total!!Estimate","Nevada!!Below poverty level!!Estimate","Nevada!!Percent below poverty level!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Below poverty level!!Estimate","New Hampshire!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Below poverty level!!Estimate","New Mexico!!Percent below poverty level!!Estimate","New York!!Total!!Estimate","New York!!Below poverty level!!Estimate","New York!!Percent below poverty level!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Below poverty level!!Estimate","North Carolina!!Percent below poverty level!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Below poverty level!!Estimate","North Dakota!!Percent below poverty level!!Estimate","Ohio!!Total!!Estimate","Ohio!!Below poverty level!!Estimate","Ohio!!Percent below poverty level!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Below poverty level!!Estimate","Oklahoma!!Percent below poverty level!!Estimate","Oregon!!Total!!Estimate","Oregon!!Below poverty level!!Estimate","Oregon!!Percent below poverty level!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Below poverty level!!Estimate","Pennsylvania!!Percent below poverty level!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Below poverty level!!Estimate","Rhode Island!!Percent below poverty level!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Below poverty level!!Estimate","South Carolina!!Percent below poverty level!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Below poverty level!!Estimate","South Dakota!!Percent below poverty level!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Below poverty level!!Estimate","Tennessee!!Percent below poverty level!!Estimate","Texas!!Total!!Estimate","Texas!!Below poverty level!!Estimate","Texas!!Percent below poverty level!!Estimate","Utah!!Total!!Estimate","Utah!!Below poverty level!!Estimate","Utah!!Percent below poverty level!!Estimate","Vermont!!Total!!Estimate","Vermont!!Below poverty level!!Estimate","Vermont!!Percent below poverty level!!Estimate","Virginia!!Total!!Estimate","Virginia!!Below poverty level!!Estimate","Virginia!!Percent below poverty level!!Estimate","Washington!!Total!!Estimate","Washington!!Below poverty level!!Estimate","Washington!!Percent below poverty level!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Below poverty level!!Estimate","West Virginia!!Percent below poverty level!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Below poverty level!!Estimate","Wisconsin!!Percent below poverty level!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Below poverty level!!Estimate","Wyoming!!Percent below poverty level!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Below poverty level!!Estimate","Puerto Rico!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","4,781,688","739,108","15.5%","713,725","71,938","10.1%","7,116,266","958,442","13.5%","2,929,117","474,739","16.2%","38,733,295","4,552,837","11.8%","5,637,904","526,979","9.3%","3,460,446","347,149","10.0%","944,955","106,383","11.3%","673,041","90,534","13.5%","21,048,884","2,664,772","12.7%","10,332,523","1,373,909","13.3%","1,379,078","128,722","9.3%","1,753,946","195,984","11.2%","12,373,209","1,420,542","11.5%","6,517,430","775,823","11.9%","3,058,938","341,613","11.2%","2,826,818","323,189","11.4%","4,326,675","703,627","16.3%","4,515,876","857,894","19.0%","1,304,100","141,803","10.9%","5,898,360","532,241","9.0%","6,656,430","625,763","9.4%","9,772,151","1,269,062","13.0%","5,515,416","494,683","9.0%","2,877,843","564,192","19.6%","5,953,025","770,175","12.9%","1,042,682","131,882","12.6%","1,877,629","185,761","9.9%","3,037,199","379,564","12.5%","1,316,495","95,711","7.3%","8,712,974","798,262","9.2%","2,053,305","373,230","18.2%","18,932,499","2,467,006","13.0%","10,199,239","1,386,122","13.6%","738,814","78,112","10.6%","11,362,386","1,484,862","13.1%","3,841,763","583,029","15.2%","4,136,542","470,643","11.4%","12,387,178","1,489,333","12.0%","1,018,586","110,244","10.8%","5,003,235","692,744","13.8%","854,648","101,946","11.9%","6,656,385","922,176","13.9%","28,361,423","3,865,010","13.6%","3,157,996","281,279","8.9%","599,030","60,897","10.2%","8,279,357","822,775","9.9%","7,470,152","730,240","9.8%","1,739,050","278,734","16.0%","5,675,557","591,486","10.4%","563,528","56,945","10.1%","3,167,190","1,376,809","43.5%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","1,068,804","228,412","21.4%","175,678","22,921","13.0%","1,612,619","308,459","19.1%","685,484","151,448","22.1%","8,728,833","1,363,574","15.6%","1,238,626","135,405","10.9%","716,121","101,233","14.1%","197,150","32,277","16.4%","126,313","23,931","18.9%","4,155,155","737,415","17.7%","2,462,583","461,456","18.7%","295,071","36,461","12.4%","441,454","58,188","13.2%","2,771,838","436,327","15.7%","1,522,694","230,725","15.2%","709,897","92,018","13.0%","686,510","101,094","14.7%","976,902","212,130","21.7%","1,068,098","288,732","27.0%","236,723","32,746","13.8%","1,306,674","156,992","12.0%","1,328,584","154,457","11.6%","2,105,855","371,020","17.6%","1,277,682","143,006","11.2%","685,080","192,413","28.1%","1,339,545","229,336","17.1%","220,375","32,888","14.9%","462,947","51,085","11.0%","678,509","114,886","16.9%","249,612","17,609","7.1%","1,913,827","235,470","12.3%","465,341","115,997","24.9%","3,928,154","711,686","18.1%","2,253,959","440,230","19.5%","173,950","17,823","10.2%","2,527,306","466,168","18.4%","935,016","186,392","19.9%","842,982","110,323","13.1%","2,578,279","434,904","16.9%","200,063","28,009","14.0%","1,087,523","214,772","19.7%","209,778","31,425","15.0%","1,478,841","290,815","19.7%","7,300,287","1,400,918","19.2%","920,337","91,433","9.9%","111,164","11,320","10.2%","1,825,458","244,953","13.4%","1,631,276","196,520","12.0%","347,481","69,975","20.1%","1,240,584","167,605","13.5%","130,431","15,088","11.6%","569,767","323,371","56.8%"
"            Under 5 years","281,201","67,723","24.1%","49,694","8,547","17.2%","420,121","88,674","21.1%","179,129","47,054","26.3%","2,324,349","362,275","15.6%","322,403","35,519","11.0%","177,520","25,792","14.5%","52,226","9,553","18.3%","45,041","8,535","18.9%","1,105,809","218,513","19.8%","628,088","127,188","20.3%","82,921","9,864","11.9%","113,919","20,268","17.8%","729,245","129,760","17.8%","402,686","67,271","16.7%","187,164","28,110","15.0%","179,144","30,648","17.1%","263,698","67,515","25.6%","286,777","80,073","27.9%","59,869","10,231","17.1%","351,108","41,114","11.7%","347,313","42,479","12.2%","559,264","108,367","19.4%","343,272","38,477","11.2%","175,542","53,760","30.6%","355,558","65,757","18.5%","57,634","8,926","15.5%","125,478","16,646","13.3%","179,215","32,424","18.1%","63,209","5,046","8.0%","503,516","67,015","13.3%","114,428","32,587","28.5%","1,092,702","210,058","19.2%","584,387","127,579","21.8%","49,826","4,767","9.6%","673,577","143,694","21.3%","245,319","54,332","22.1%","218,152","28,187","12.9%","682,630","118,512","17.4%","53,173","8,373","15.7%","281,611","60,285","21.4%","57,292","9,887","17.3%","396,193","89,354","22.6%","1,954,819","419,263","21.4%","243,526","27,064","11.1%","27,805","3,068","11.0%","489,086","68,657","14.0%","444,352","57,502","12.9%","87,731","19,963","22.8%","321,175","46,763","14.6%","32,265","4,670","14.5%","114,745","73,159","63.8%"
"            5 to 17 years","787,603","160,689","20.4%","125,984","14,374","11.4%","1,192,498","219,785","18.4%","506,355","104,394","20.6%","6,404,484","1,001,299","15.6%","916,223","99,886","10.9%","538,601","75,441","14.0%","144,924","22,724","15.7%","81,272","15,396","18.9%","3,049,346","518,902","17.0%","1,834,495","334,268","18.2%","212,150","26,597","12.5%","327,535","37,920","11.6%","2,042,593","306,567","15.0%","1,120,008","163,454","14.6%","522,733","63,908","12.2%","507,366","70,446","13.9%","713,204","144,615","20.3%","781,321","208,659","26.7%","176,854","22,515","12.7%","955,566","115,878","12.1%","981,271","111,978","11.4%","1,546,591","262,653","17.0%","934,410","104,529","11.2%","509,538","138,653","27.2%","983,987","163,579","16.6%","162,741","23,962","14.7%","337,469","34,439","10.2%","499,294","82,462","16.5%","186,403","12,563","6.7%","1,410,311","168,455","11.9%","350,913","83,410","23.8%","2,835,452","501,628","17.7%","1,669,572","312,651","18.7%","124,124","13,056","10.5%","1,853,729","322,474","17.4%","689,697","132,060","19.1%","624,830","82,136","13.1%","1,895,649","316,392","16.7%","146,890","19,636","13.4%","805,912","154,487","19.2%","152,486","21,538","14.1%","1,082,648","201,461","18.6%","5,345,468","981,655","18.4%","676,811","64,369","9.5%","83,359","8,252","9.9%","1,336,372","176,296","13.2%","1,186,924","139,018","11.7%","259,750","50,012","19.3%","919,409","120,842","13.1%","98,166","10,418","10.6%","455,022","250,212","55.0%"
"            Related children of householder under 18 years","1,064,947","224,890","21.1%","174,865","22,108","12.6%","1,605,149","301,568","18.8%","681,881","148,098","21.7%","8,693,924","1,332,136","15.3%","1,233,408","130,553","10.6%","713,469","98,581","13.8%","196,250","31,457","16.0%","125,785","23,403","18.6%","4,136,702","719,928","17.4%","2,453,372","453,790","18.5%","293,714","35,124","12.0%","440,139","56,873","12.9%","2,761,823","427,008","15.5%","1,515,978","224,344","14.8%","706,842","88,988","12.6%","682,314","97,307","14.3%","970,937","206,403","21.3%","1,064,697","285,414","26.8%","235,380","31,428","13.4%","1,301,861","152,773","11.7%","1,323,435","149,642","11.3%","2,096,326","361,886","17.3%","1,271,702","137,513","10.8%","682,937","190,270","27.9%","1,331,098","221,556","16.6%","219,263","31,776","14.5%","459,929","48,305","10.5%","675,621","112,390","16.6%","249,123","17,179","6.9%","1,908,008","229,978","12.1%","464,017","114,695","24.7%","3,908,907","693,376","17.7%","2,245,342","432,804","19.3%","173,606","17,489","10.1%","2,513,988","453,700","18.0%","930,793","182,567","19.6%","838,021","105,560","12.6%","2,567,988","425,396","16.6%","199,670","27,674","13.9%","1,082,650","209,989","19.4%","208,634","30,443","14.6%","1,472,340","284,758","19.3%","7,273,797","1,377,341","18.9%","915,761","87,284","9.5%","110,690","10,853","9.8%","1,815,981","235,853","13.0%","1,623,911","189,930","11.7%","345,013","67,507","19.6%","1,235,279","162,422","13.1%","129,628","14,285","11.0%","568,109","321,767","56.6%"
"        18 to 64 years","2,878,045","422,875","14.7%","449,112","42,857","9.5%","4,208,713","533,294","12.7%","1,735,985","269,795","15.5%","24,265,831","2,589,386","10.7%","3,569,939","332,062","9.3%","2,135,228","201,596","9.4%","562,062","60,574","10.8%","461,628","55,323","12.0%","12,465,929","1,452,459","11.7%","6,377,290","757,136","11.9%","818,415","69,228","8.5%","1,028,622","118,285","11.5%","7,619,693","814,173","10.7%","3,947,058","464,795","11.8%","1,817,536","210,268","11.6%","1,680,284","188,745","11.2%","2,618,259","406,298","15.5%","2,725,038","473,426","17.4%","789,793","85,515","10.8%","3,654,573","301,851","8.3%","4,191,144","368,146","8.8%","5,936,313","753,441","12.7%","3,345,812","285,246","8.5%","1,719,268","309,213","18.0%","3,591,387","449,631","12.5%","619,107","81,499","13.2%","1,113,692","110,313","9.9%","1,864,922","217,530","11.7%","821,436","62,801","7.6%","5,362,866","435,891","8.1%","1,214,814","207,043","17.0%","11,803,917","1,370,354","11.6%","6,233,407","789,278","12.7%","451,075","51,140","11.3%","6,861,518","854,072","12.4%","2,290,945","337,104","14.7%","2,536,619","299,131","11.8%","7,499,939","863,779","11.5%","637,982","66,132","10.4%","2,998,651","385,694","12.9%","497,445","59,134","11.9%","4,066,257","524,102","12.9%","17,407,812","2,075,031","11.9%","1,876,040","167,354","8.9%","365,999","42,106","11.5%","5,122,310","483,898","9.4%","4,651,564","444,900","9.6%","1,033,228","175,387","17.0%","3,441,593","350,300","10.2%","336,915","34,766","10.3%","1,923,126","784,074","40.8%"
"            18 to 34 years","1,036,651","188,565","18.2%","176,154","20,692","11.7%","1,615,034","250,959","15.5%","629,441","122,185","19.4%","9,352,298","1,192,936","12.8%","1,372,807","174,775","12.7%","723,858","83,855","11.6%","196,710","26,253","13.3%","210,607","26,647","12.7%","4,349,223","600,674","13.8%","2,338,605","353,394","15.1%","291,316","28,269","9.7%","387,788","65,647","16.9%","2,775,754","371,825","13.4%","1,447,696","224,023","15.5%","657,757","112,069","17.0%","630,657","98,877","15.7%","928,430","182,005","19.6%","1,010,757","217,499","21.5%","251,524","34,712","13.8%","1,273,870","130,922","10.3%","1,522,650","169,537","11.1%","2,148,802","353,051","16.4%","1,200,767","145,543","12.1%","619,399","140,076","22.6%","1,302,507","211,667","16.3%","222,275","43,359","19.5%","418,314","59,737","14.3%","687,745","95,189","13.8%","270,016","24,625","9.1%","1,824,824","183,857","10.1%","455,834","88,931","19.5%","4,367,676","589,553","13.5%","2,240,431","370,286","16.5%","186,182","30,967","16.6%","2,454,985","392,180","16.0%","868,442","159,555","18.4%","924,821","142,725","15.4%","2,630,705","394,220","15.0%","230,349","30,891","13.4%","1,064,685","170,551","16.0%","181,446","30,603","16.9%","1,479,972","225,243","15.2%","6,776,155","1,011,573","14.9%","810,860","100,975","12.5%","123,365","20,278","16.4%","1,825,868","240,073","13.1%","1,752,789","211,388","12.1%","341,595","72,523","21.2%","1,206,900","181,759","15.1%","124,792","19,422","15.6%","694,720","316,680","45.6%"
"            35 to 64 years","1,841,394","234,310","12.7%","272,958","22,165","8.1%","2,593,679","282,335","10.9%","1,106,544","147,610","13.3%","14,913,533","1,396,450","9.4%","2,197,132","157,287","7.2%","1,411,370","117,741","8.3%","365,352","34,321","9.4%","251,021","28,676","11.4%","8,116,706","851,785","10.5%","4,038,685","403,742","10.0%","527,099","40,959","7.8%","640,834","52,638","8.2%","4,843,939","442,348","9.1%","2,499,362","240,772","9.6%","1,159,779","98,199","8.5%","1,049,627","89,868","8.6%","1,689,829","224,293","13.3%","1,714,281","255,927","14.9%","538,269","50,803","9.4%","2,380,703","170,929","7.2%","2,668,494","198,609","7.4%","3,787,511","400,390","10.6%","2,145,045","139,703","6.5%","1,099,869","169,137","15.4%","2,288,880","237,964","10.4%","396,832","38,140","9.6%","695,378","50,576","7.3%","1,177,177","122,341","10.4%","551,420","38,176","6.9%","3,538,042","252,034","7.1%","758,980","118,112","15.6%","7,436,241","780,801","10.5%","3,992,976","418,992","10.5%","264,893","20,173","7.6%","4,406,533","461,892","10.5%","1,422,503","177,549","12.5%","1,611,798","156,406","9.7%","4,869,234","469,559","9.6%","407,633","35,241","8.6%","1,933,966","215,143","11.1%","315,999","28,531","9.0%","2,586,285","298,859","11.6%","10,631,657","1,063,458","10.0%","1,065,180","66,379","6.2%","242,634","21,828","9.0%","3,296,442","243,825","7.4%","2,898,775","233,512","8.1%","691,633","102,864","14.9%","2,234,693","168,541","7.5%","212,123","15,344","7.2%","1,228,406","467,394","38.0%"
"        60 years and over","1,162,762","130,738","11.2%","134,620","10,207","7.6%","1,730,479","168,004","9.7%","698,955","83,157","11.9%","8,050,858","837,967","10.4%","1,180,635","91,219","7.7%","863,885","69,436","8.0%","255,931","20,684","8.1%","117,350","17,134","14.6%","5,839,955","638,538","10.9%","2,100,352","221,954","10.6%","355,841","30,421","8.5%","398,304","29,438","7.4%","2,788,905","248,903","8.9%","1,475,586","121,169","8.2%","737,914","56,562","7.7%","649,090","51,758","8.0%","1,030,989","125,546","12.2%","1,025,595","142,519","13.9%","385,763","33,906","8.8%","1,341,308","105,797","7.9%","1,591,504","139,531","8.8%","2,422,059","215,404","8.9%","1,259,858","94,732","7.5%","661,362","90,086","13.6%","1,434,236","139,087","9.7%","281,537","25,904","9.2%","422,581","34,445","8.2%","677,862","69,229","10.2%","348,809","23,615","6.8%","2,034,029","173,941","8.6%","512,454","73,337","14.3%","4,471,755","525,950","11.8%","2,363,930","229,385","9.7%","160,492","13,644","8.5%","2,776,848","250,479","9.0%","855,963","88,028","10.3%","1,031,507","88,134","8.5%","3,213,193","284,895","8.9%","257,848","23,646","9.2%","1,255,385","135,110","10.8%","205,352","15,827","7.7%","1,545,068","159,424","10.3%","5,220,224","551,621","10.6%","513,620","32,752","6.4%","172,110","11,982","7.0%","1,870,302","136,477","7.3%","1,667,874","133,343","8.0%","491,557","50,450","10.3%","1,399,792","105,551","7.5%","135,375","11,286","8.3%","886,559","353,762","39.9%"
