state,latitude,longitude,uid,stat_abr,date,mmwr_week,week,cases_total,cases_new,death_total,death_new,total_beds,total_icu,used_inpatient,used_icu,distributed_janssen,series_complete_janssen,distributed_moderna,series_complete_moderna,distributed_pfizer,series_complete_pfizer,distributed,dist_per_100k,administered,admin_per_100k,administered_dose1_recip,administered_dose1_pop_pct,series_complete_yes,series_complete_pop_pct,additional_doses,additional_doses_vax_pct,additional_doses_janssen,additional_doses_moderna,additional_doses_pfizer
Virginia,38.0033855,-79.4587861,VA202204,VA,2022-01-30,5,04,1535349,0,16168,0,95243.0,11993.0,64032.0,8294.0,768100,446943,6301200,1972394,11100085,3600930,18169385,212868,15284804,179073,7096495,83.1,6023496,70.6,2587944.0,43.0,40614.0,1102775.0,1444057.0
Virginia,38.0033855,-79.4587861,VA202203,VA,2022-01-23,4,03,1464850,0,15894,0,97314.0,11548.0,62166.0,8184.0,764700,445911,6236800,1968843,10985285,3583955,17986785,210729,15177550,177816,7067079,82.8,6001869,70.3,2531320.0,42.2,39787.0,1083012.0,1408091.0
Virginia,38.0033855,-79.4587861,VA202202,VA,2022-01-16,2,02,1368271,0,15809,0,97227.0,11491.0,62159.0,8210.0,763800,432224,6209600,1949298,10829775,3497640,17803175,208578,15027836,176062,6880234,80.6,5882280,68.9,2447444.0,41.6,38657.0,1055667.0,1352742.0
Virginia,38.0033855,-79.4587861,VA202201,VA,2022-01-09,1,01,1247222,0,15666,0,108639.0,15593.0,82446.0,11707.0,750400,430556,6045300,1943425,10611825,3468679,17407525,203942,14779199,173149,6822217,79.9,5845731,68.5,2295157.0,39.3,36765.0,1002462.0,1255580.0
Virginia,38.0033855,-79.4587861,VA202152,VA,2021-12-31,52,52,1133238,14713,15601,14,135043.0,16639.0,83141.0,12236.0,749700,428615,5726140,1936476,10415295,3439652,16891135,197892,14499285,169870,6752283,79.1,5807768,68.0,2126728.0,36.6,34719.0,933244.0,1158453.0
Virginia,38.0033855,-79.4587861,VA202151,VA,2021-12-26,52,51,1057946,0,15318,0,135060.0,16528.0,78665.0,11877.0,747500,427847,5725320,1933547,10248445,3424521,16721265,195902,14374947,168413,6719709,78.7,5788915,67.8,2052684.0,35.5,33858.0,902299.0,1116225.0
Virginia,38.0033855,-79.4587861,VA202150,VA,2021-12-19,51,50,1017398,0,15115,0,135007.0,16538.0,83291.0,11904.0,743000,426278,5748940,1927417,10082045,3395716,16573985,194177,14058525,164706,6650482,77.9,5752388,67.4,1850876.0,32.2,31732.0,818187.0,1000669.0
Virginia,38.0033855,-79.4587861,VA202149,VA,2021-12-12,50,49,995561,0,14929,0,134932.0,16432.0,84746.0,11812.0,734000,423793,5757460,1919846,9729505,3346058,16220965,190041,13722269,160767,6582735,77.1,5692596,66.7,1647904.0,28.9,28101.0,728270.0,891273.0
Virginia,38.0033855,-79.4587861,VA202148,VA,2021-12-05,49,48,979219,0,14764,0,135004.0,16510.0,85861.0,11816.0,719200,420527,5676380,1911460,9439155,3276400,15834735,185516,13378547,156740,6509980,76.3,5611245,65.7,1456351.0,26.0,23942.0,636582.0,795601.0
Virginia,38.0033855,-79.4587861,VA202147,VA,2021-11-28,48,47,964887,0,14656,0,134554.0,16566.0,81193.0,11519.0,703300,416179,5629540,1899044,9260965,3198051,15593805,182693,12883121,150935,6393468,74.9,5516063,64.6,1181437.0,21.4,18265.0,502646.0,660332.0
