outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction
case,04 - APR,202114,12-17,all_types,7,38220,29459,16946683,18.31501832,173.8334281,9.491305172,,,,0
case,04 - APR,202115,12-17,all_types,4,56121,29153,16671338,7.127456745,174.8689877,24.53455615,,,,0
case,04 - APR,202116,12-17,all_types,6,87173,25160,16388829,6.882865107,153.5192051,22.30454944,,,,0
case,04 - APR,202117,12-17,all_types,21,140242,23465,16135529,14.97411617,145.4244233,9.711719989,,,,0
case,05 - MAY,202118,12-17,all_types,12,237327,18697,15963947,5.056314705,117.1201583,23.16314651,,,,0
case,05 - MAY,202119,12-17,all_types,11,403228,14390,15581914,2.72798516,92.35065731,33.8530644,,,,0
case,05 - MAY,202120,12-17,all_types,24,676046,10423,14331041,3.550054286,72.73023642,20.48707725,,,,0
case,05 - MAY,202121,12-17,all_types,27,953538,6753,13600380,2.831559938,49.6530244,17.53557244,,,,0
case,06 - JUN,202122,12-17,all_types,39,1200161,5173,13142228,3.249564017,39.36166684,12.11290703,,,,0
case,06 - JUN,202123,12-17,all_types,41,1362839,4474,12739290,3.008425794,35.11969662,11.67377859,,,,0
case,06 - JUN,202124,12-17,all_types,44,1758732,4240,12432635,2.501802435,34.10379216,13.63168877,,,,0
case,06 - JUN,202125,12-17,all_types,97,2937102,4902,12080550,3.302575123,40.57762271,12.28666153,,,,0
case,06 - JUN,202126,12-17,all_types,151,3721491,6844,11764443.1,4.057513507,58.17529943,14.3376724,,,,1
case,07 - JUL,202127,12-17,all_types,220,4151208,9275,11546261.1,5.299662171,80.32903396,15.15738766,,,,1
case,07 - JUL,202128,12-17,all_types,489,4494020,14800,11291955.1,10.88112648,131.0667627,12.04533033,,,,1
case,07 - JUL,202129,12-17,all_types,902,4753838,24445,11000489.1,18.97414258,222.2173921,11.71159072,,,,1
case,07 - JUL,202130,12-17,all_types,1558,5004217,35915,10647961.1,31.1337418,337.2946207,10.83373219,,,,1
case,08 - AUG,202131,12-17,all_types,2286,5231297,44412,10236483.1,43.69853212,433.8599455,9.928478702,,,,1
case,08 - AUG,202132,12-17,all_types,2809,5428449,55396,9820229.1,51.74590385,564.1008925,10.90136321,,,,1
case,08 - AUG,202133,12-17,all_types,3654,5652125,72661,9473783.1,64.64825176,766.9692163,11.8637271,,,,1
case,08 - AUG,202134,12-17,all_types,4673,5920890,85927,9160792.1,78.92394556,937.9865743,11.88468934,,,,1
case,09 - SEP,202135,12-17,all_types,4876,6246917,78990,8868936.1,78.05450273,890.6367022,11.41044618,,,,1
case,09 - SEP,202136,12-17,all_types,4214,6624811,61635,8655813.1,63.60936184,712.0648203,11.19433995,,,,1
case,09 - SEP,202137,12-17,all_types,4040,7013105,51711,8441356.1,57.60643823,612.5911452,10.63407432,,,,1
case,09 - SEP,202138,12-17,all_types,3713,7314316,43548,8273712.1,50.76346168,526.3417372,10.36851546,,,,1
case,09 - SEP,202139,12-17,all_types,3444,7590154,36310,8138657.1,45.37457343,446.1423986,9.832431798,,,,1
case,10 - OCT,202140,12-17,all_types,3309,7822353,30854,8023304.1,42.30184958,384.5547871,9.090732223,,,,1
case,10 - OCT,202141,12-17,all_types,2861,7999795,25235,7925817.1,35.76341644,318.3898856,8.902669749,,,,1
case,10 - OCT,202142,12-17,all_types,2860,8151352,22305,7840528.1,35.08620411,284.4833883,8.1081267,,,,1
case,10 - OCT,202143,12-17,all_types,2903,8274367,22827,7766354.1,35.08425478,293.9217,8.377595643,,,,1
case,11 - NOV,202144,12-17,all_types,3501,8377616,24323,7692158.1,41.78993165,316.2051492,7.566539039,,,,1
case,11 - NOV,202145,12-17,all_types,3903,8466220,26419,7609278.1,46.10085729,347.194565,7.531195414,,,,1
case,11 - NOV,202146,12-17,all_types,4422,8544587,27857,7514417.1,51.75206245,370.7140505,7.163271045,,,,1
case,11 - NOV,202147,12-17,all_types,3594,8610806,20536,7440182.1,41.73825307,276.0147497,6.612992384,,,,1
case,12 - DEC,202148,12-17,all_types,6439,8672293,33639,7369755.1,74.24795265,456.4466464,6.147599093,,,,1
case,12 - DEC,202149,12-17,all_types,6519,8725253,31708,7299948.1,74.71416588,434.3592525,5.813613086,,,,1
case,12 - DEC,202150,12-17,all_types,13677,8794535,37358,7229755.1,155.5170342,516.7256634,3.322630644,,,,1
case,12 - DEC,202151,12-17,all_types,34042,8877761,50395,7159135.1,383.4525394,703.9258136,1.835757339,,,,1
death,04 - APR,202114,12-17,all_types,0,35466,3,15377813,0,0.0195086,,,,,0
death,04 - APR,202115,12-17,all_types,0,50710,6,15135106,0,0.0396429,,,,,0
death,04 - APR,202116,12-17,all_types,0,77615,3,14879376,0,0.0201621,,,,,0
death,04 - APR,202117,12-17,all_types,0,122726,2,14646694,0,0.013655,,,,,0
death,05 - MAY,202118,12-17,all_types,0,210373,1,14490049,0,0.00690129,,,,,0
death,05 - MAY,202119,12-17,all_types,0,361842,5,14136008,0,0.0353707,,,,,0
death,05 - MAY,202120,12-17,all_types,0,604893,3,13015318,0,0.0230498,,,,,0
death,05 - MAY,202121,12-17,all_types,0,856719,1,12377255,0,0.0080793,,,,,0
death,06 - JUN,202122,12-17,all_types,0,1082911,1,11963218,0,0.008359,,,,,0
death,06 - JUN,202123,12-17,all_types,0,1231133,3,11597655,0,0.0258673,,,,,0
death,06 - JUN,202124,12-17,all_types,0,1601773,1,11318526,0,0.0088351,,,,,0
death,06 - JUN,202125,12-17,all_types,0,2661632,4,10989643,0,0.0363979,,,,,0
death,06 - JUN,202126,12-17,all_types,0,3358082,0,10695421.1,0,0,,,,,1
death,07 - JUL,202127,12-17,all_types,0,3743682,1,10494156.1,0,0.0095291,,,,,1
death,07 - JUL,202128,12-17,all_types,0,4054193,4,10258988.1,0,0.0389902,,,,,1
death,07 - JUL,202129,12-17,all_types,1,4290551,6,9990237.1,0.023307,0.0600586,2.576846349,,,,1
death,07 - JUL,202130,12-17,all_types,1,4519141,8,9665367.1,0.0221281,0.082769748,3.740481621,,,,1
death,08 - AUG,202131,12-17,all_types,0,4726054,13,9286615.1,0,0.13998642,,,,,1
